id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7475557,Minion? *Family*Massage Chair*Convention 37A,26704689,Mac,,South Boston,42.33354,-71.04848,Entire home/apt,149,2,104,2019-08-02,2.56,12,66
7475573,Charming Studio on Boston's iconic Newbury St. #8,22348222,Maverick,,Back Bay,42.35079,-71.08164,Entire home/apt,150,1,82,2019-08-05,2.12,54,282
7476340,"Charming Studio in Boston Brownstone, #44",22348222,Maverick,,South End,42.34323,-71.07749,Entire home/apt,150,1,48,2019-05-27,1.65,54,357
7479725,Sunny bedroom in Allston,17892292,Marlene,,Allston,42.36084,-71.1356,Private room,40,5,13,2016-11-12,0.26,5,0
7482195,Private room near bus stop,34552909,Barrie,,Roslindale,42.28222,-71.11519,Private room,50,5,2,2018-10-15,0.07,4,290
7497047,Boston Private Room - Clean and quiet close to T,16052189,Jonathan,,Hyde Park,42.23594,-71.13246,Private room,31,30,11,2019-06-29,0.23,8,212
7499960,SAFE CENTRAL CITY LOCATION! WalkToWork/Everywhere!,9529655,Suzanne,,Fenway,42.35062,-71.09486,Entire home/apt,188,30,15,2018-08-12,0.31,4,330
7508865,Luxury 1- BR Apt near Boston's Children Hospital,30283594,Kara,,Fenway,42.34352,-71.10204,Entire home/apt,132,3,4,2018-07-06,0.09,123,132
7511737,Spacious South End Studio w/Boston View #7,22348222,Maverick,,South End,42.34422,-71.07538,Entire home/apt,150,1,105,2019-08-14,2.22,54,292
7513605,"Stylish Downtown Studio in the SouthEnd, C.Ave# 2",22348222,Maverick,,South End,42.34505,-71.07577,Entire home/apt,150,1,83,2019-08-13,1.79,54,318
7513906,Charming & Stylish Studio on Beacon Hill #6,22348222,Maverick,,Downtown,42.36092,-71.06275,Entire home/apt,150,1,74,2019-08-13,1.59,54,333
7514024,"Downtown Beacon Hill, Convenient, Comfy Studio #14",22348222,Maverick,,Beacon Hill,42.35936,-71.06439,Entire home/apt,150,1,97,2019-08-11,3.37,54,328
7514336,Charming & Stylish Studio on Beacon Hill #11,22348222,Maverick,,Beacon Hill,42.36087,-71.06299,Entire home/apt,150,1,96,2019-06-19,2.47,54,344
7527149,Gorgeous Boston Townhouse Apartment,10502779,Peter,,Beacon Hill,42.35703,-71.07056,Entire home/apt,650,4,30,2019-07-29,0.61,1,226
7527864,Great Private Room in Beacon Hill,29187425,Olja,,Beacon Hill,42.36019,-71.06749,Private room,125,2,60,2019-05-28,1.25,2,0
7531700,Charming & Stylish Studio on Beacon Hill #3,22348222,Maverick,,Beacon Hill,42.36093,-71.06398,Entire home/apt,150,1,100,2019-08-14,2.08,54,346
7540480,Parlor South End charm with deck,38611099,Viktoria,,South End,42.3437,-71.06922,Entire home/apt,165,2,175,2019-08-16,3.64,2,206
7561220,"Allston, Close to Harvard Business School B",19548932,Joe,,Allston,42.35787,-71.12991,Private room,65,1,111,2019-07-18,2.30,9,313
7562235,Cozy room in front of metro station,11653097,Camilla,,Mission Hill,42.33193,-71.11127,Private room,90,2,3,2015-08-25,0.06,1,0
7575052,Sunny and Quiet top floor #8,9653086,Glenn,,South End,42.34055,-71.07511,Entire home/apt,200,1,64,2019-08-13,1.30,6,332
7582224,2Bed/2Bath apartment at Kendall Sq!,28749942,Renata,,West End,42.3623,-71.06852,Entire home/apt,149,1,24,2019-08-04,0.53,13,19
7582651,North End Apartment!,39761134,Haley,,North End,42.36493,-71.05645,Entire home/apt,220,2,3,2015-11-02,0.06,1,0
7592616,South End 1 Bdrm with Private Deck,4031770,Bryan,,South End,42.34222,-71.06976,Entire home/apt,140,2,1,2015-08-10,0.02,1,0
